species,latitude,longitude
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.7278,116.6974
Boronia gracilipes,-34.722053,116.699347
Boronia gracilipes,-34.9667,116.7
Boronia gracilipes,-34.97835914,116.700116
Boronia gracilipes,-34.72638903,116.703056
Boronia gracilipes,-34.82304,116.708206
Boronia gracilipes,-34.87947203,116.713889
Boronia gracilipes,-34.736328,116.716675
Boronia gracilipes,-34.9667,116.7167
Boronia gracilipes,-34.735722,116.716979
Boronia gracilipes,-34.735783,116.717012
Boronia gracilipes,-34.7361,116.717362
Boronia gracilipes,-34.736195,116.717987
Boronia gracilipes,-34.62,116.72
Boronia gracilipes,-34.734967,116.722375
Boronia gracilipes,-34.736228,116.723225
Boronia gracilipes,-34.736478,116.723412
Boronia gracilipes,-34.7365,116.723763
Boronia gracilipes,-34.736297,116.723992
Boronia gracilipes,-34.736456,116.72402
Boronia gracilipes,-34.737419,116.724461
Boronia gracilipes,-34.97638903,116.724722
Boronia gracilipes,-34.97638903,116.724722
Boronia gracilipes,-34.97638903,116.724722
Boronia gracilipes,-34.61666703,116.724722
Boronia gracilipes,-34.983333,116.733333
Boronia gracilipes,-34.85000003,116.733333
Boronia gracilipes,-34.87046903,116.735698
Boronia gracilipes,-34.99197403,116.763612
Boronia gracilipes,-34.9707,116.76503
Boronia gracilipes,-34.970578,116.765092
Boronia gracilipes,-34.970733,116.765297
Boronia gracilipes,-34.970841,116.765348
Boronia gracilipes,-34.970997,116.765412
Boronia gracilipes,-34.970672,116.76552
Boronia gracilipes,-34.9333,116.7667
Boronia gracilipes,-34.94313403,116.767235
Boronia gracilipes,-34.94313403,116.767235
Boronia gracilipes,-34.974728,116.768564
Boronia gracilipes,-34.966534,116.770988
Boronia gracilipes,-34.966863,116.771107
Boronia gracilipes,-34.968156,116.77217
Boronia gracilipes,-34.968415,116.772304
Boronia gracilipes,-34.968644,116.772546
Boronia gracilipes,-34.967653,116.772584
Boronia gracilipes,-34.968247,116.772611
Boronia gracilipes,-34.967901,116.77262
Boronia gracilipes,-34.968221,116.772633
Boronia gracilipes,-34.968567,116.772634
Boronia gracilipes,-34.967475,116.77272
Boronia gracilipes,-34.96742,116.772728
Boronia gracilipes,-34.968116,116.772792
Boronia gracilipes,-34.968196,116.772842
Boronia gracilipes,-34.966167,116.780525
Boronia gracilipes,-34.964154,116.780644
Boronia gracilipes,-34.966312,116.7808
Boronia gracilipes,-34.966549,116.781794
Boronia gracilipes,-34.962777,116.782346
Boronia gracilipes,-34.962782,116.782387
Boronia gracilipes,-34.965803,116.783024
Boronia gracilipes,-34.82805603,116.783056
